codigo,imagen_url,stock_actual
LP001,https://images.pexels.com/photos/3873/men-s-sweater-2633446.jpg,5
LP002,https://images.pexels.com/photos/3841/vintage-record-player.jpg,3
LP003,https://images.pexels.com/photos/3944/concert-crowd.jpg,8
LP004,https://images.pexels.com/photos/3949/music-festival.jpg,2
LP005,https://images.pexels.com/photos/3950/live-band.jpg,6
LP006,https://images.pexels.com/photos/3951/festival-lights.jpg,4
LP007,https://images.pexels.com/photos/3952/dj-booth.jpg,1
LP008,https://images.pexels.com/photos/3953/stage-performance.jpg,7
LP009,https://images.pexels.com/photos/3954/audio-equipment.jpg,3
LP010,https://images.pexels.com/photos/3955/microphone-stage.jpg,5
